Unnamed: 0,author_id,rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,submission_time,review_text,review_title,skin_tone,eye_color,skin_type,hair_color,product_id,product_name,brand_name,price_usd
38275,6999853528,5,1.0,1.0,1,0,1,2023-03-11,Just been using for a week now and already obsessed! My eye area is noticeably brighter and firmer.,Another Must Have from YTTP!,lightMedium,gray,combination,blonde,P504313,Peptides + C Energy Eye Concentrate with Vitamin C and Caffeine,Youth To The People,48.0
32098,6913208636,5,1.0,,0,0,0,2021-07-17,"This is my first time trying this brand and I’ve been on the hunt for a gentle exfoliating cleanser. My skin is not really sensitive but it does react when a product is too harsh or abrasive. This is a very gentle exfoliating cleanser, the beads are very fine and dissolve as you cleanse. The formula is stripping and doesn’t irritate my skin. My skin feels so soft and my moisturizer products apply and absorbs a lot better after using this product.",,tan,brown,combination,black,P469527,The UnScrub Gentle Cleansing Scrub,Paula's Choice,35.0
25468,11476219419,5,1.0,,0,0,0,2023-01-02,"This MARA Algae Retinol Face Oil is so luxe. This face oil has lightweight consistency, is fast absorbing and non greasy. It smells amazing and is so relaxing. I use this face oil for my morning and night routine. I love how it leaves my skin hydrated and moisturized. My skin appears brighter and glows. Also, it smoothes the appearance of wrinkles and fine lines. It is a must have face oil.",A must have face oil,,brown,combination,black,P504031,Evening Primrose + Green Tea Algae Retinol Face Oil,MARA,120.0
39173,12484043660,5,1.0,0.7142860293388367,7,2,5,2022-05-06,The best pore mask I have ever tried! My skin is so clean and smooth!! Love it!,Must have,light,green,combination,,P472031,FAB Pharma Calamine Pore Purging Mask,First Aid Beauty,30.0
20253,2231701489,5,1.0,,0,0,0,2021-03-07,This product was gifted by Kate Somerville for testing purposes. I have been using this face cream for over a week now and I am delighted with the results.  You can feel the difference in your skin as soon as you start applying the product. It diminishes the appearance of fine lines and leaves you with a radiant glow. I can’t wait to see lone longer term results. Her products are a little on the pricey side but they are definitely worth it!,Worth it!,light,brown,oily,brown,P469112,KateCeuticals Total Repair Cream,Kate Somerville,140.0
9057,12576558173,4,1.0,,0,0,0,2019-07-07,very good product ..it makes my skin look so fresh and clean...,,fair,green,dry,blonde,P416344,The Cleansing Foam,La Mer,95.0
1822,1374585278,4,1.0,1.0,6,0,6,2022-12-24,"Excellent products except that the skin cream has an unpleasant smell even though it feels comfortable on the skin. The eye cream, the lactic serum and the vit.c serum are all excellent.",Very good value,fair,brown,normal,,P480278,Rapid Radiance Set,Biossance,35.0
46383,32169403422,5,1.0,1.0,7,0,7,2021-06-14,"My face feels so soft and moisturized. I was worried because I have combination skin , but this has proven to be great with just a few days of using the product. Highly recommended!",I love this!,tan,brown,combination,brown,P455332,Hydrating Water Fresh Cream Moisturizer,Bobbi Brown,66.0
17366,6379756857,5,1.0,1.0,4,0,4,2022-02-03,It has taken me a while to find a thicker moisturizer that doesn’t feel too heavy without an astronomical price tag but I love this product! The 3.7 oz lasts me almost half the year!,Feels heavenly on the face,light,Grey,combination,brown,P475540,Honey Halo Moisturizer Jumbo,Farmacy,74.0
26817,12975618713,3,1.0,,0,0,0,2022-11-20,"It’s a good lightweight face moisturizer, my face feels good when I wear it, but it does have a bit of a dewy effect that is not my favorite. But if you like dewy then maybe this will be good for you!",Dewy effect,,brown,combination,,P454395,Mini Lotus Youth Preserve Moisturizer,fresh,21.0
21028,6624042540,3,0.0,0.4000000059604645,5,3,2,2021-11-10,"I’ve been using this for weeks and it really hasn’t done anything for me. There’s much better out there. Might be better for people with more oily skin, mines more on the dry side.",,light,green,dry,blonde,P469517,CLEAR Oil-Free Moisturizer,Paula's Choice,29.0
22647,35781177094,5,1.0,1.0,2,0,2,2022-09-22,"I used this for 2 weeks, I compared this to the neutragena water base face cream but 3x better! I really liked the container and the applicator  :) so easy to push down and get the right amount each time I have this in my car and it’s so quick and easy to use. It absorbs super quick",I have this in my car! As a must have,medium,brown,normal,red,P502197,HydraKate Recharging Water Cream Moisturizer,Kate Somerville,76.0
6049,10154309137,5,1.0,1.0,1,0,1,2020-05-14,I love this spray. Lightweight and super refreshing. I love to spray it on a bad burn to relieve. This is a must have for me,,fair,green,combination,blonde,P440483,"Facial Spray with Aloe, Cucumber and Green Tea",Mario Badescu,7.0
14300,1701274351,5,,0.8275859951972961,58,10,48,2017-08-22,"If it is out of stock, the Dr Brandt: glow revitalizing retinol eye cream is the same exact thing. It’s just repackaged, since, I think,  the other packaging is exclusively packaged for sephora.",if it is sold out,,,,,P417625,24/7 Retinol Eye Cream,Dr. Brandt Skincare,58.0
16742,5957630251,4,1.0,,0,0,0,2020-10-13,"I recently received this eye cream as a sample. It was good and I did see some minor improvements around my eyes. It did get rid of the dark circles. Overall, it was a good eye cream.",,deep,brown,combination,black,P464237,Retinol Recovery Eye Cream,Dr. Zenovia Skincare,64.0
13687,1435167108,5,1.0,0.857142984867096,7,1,6,2021-03-02,"I love this so much! I have rosacea and I was afraid this would be to harsh for my sensitive skin. Everything always leaves my skin red and kinda of irritated. But this made my skin glow and it looked less red! Amazing, got a sample but will be buying the full size.",Absolutely glowing skin!,fair,hazel,dry,brown,P457694,Blue Algae Vitamin C Dark Spot Correcting Peel,Algenist,85.0
39153,5945286293,5,1.0,1.0,3,0,3,2022-10-25,Love how easy these are to use! I use these for my facial skincare routine and they don’t disappoint!,Great Value!,,hazel,oily,blonde,P482312,Facial Razor Set,SEPHORA COLLECTION,12.0
48364,1568702439,5,1.0,1.0,1,0,1,2022-07-27,"Luxurious cleanser that leaves skin feeling clean, fresh, glowing and radiant!",Favourite Cleanser Ever!,lightMedium,brown,combination,blonde,P476432,Capture Totale Super Potent Cleanser,Dior,65.0
6651,5207581924,3,0.0,,0,0,0,2021-10-28,It came in a green tube of 150 ml. It’s a Non-drying cleanser for stressed & sensitive skin. I did notice it did not strip any moisture from my skin but I did not like the smell. I lathered it onto my skin but did not notice any difference even though it states it would leave a fresh looking complexion,,lightMedium,brown,combination,brown,P476726,Evercalm Gentle Cleansing Gel,REN Clean Skincare,38.0
25767,5605987088,5,1.0,0.5,2,1,1,2021-12-27,"I absolutely love the way this makes my skin feel! After just one use, it was super smooth and looked amazing! There is definitely a learning curve to this product, (I made one mistake and did give myself a scab - but it was totally user error) just follow the directions and don’t go over the same spot twice, and you will love it! Definitely going to be using this forever! It would also make a fantastic gift!",11/10 Definitely Recommend,lightMedium,,dry,auburn,P401158,PMD Personal Microderm with Hand & Foot Kit,PMD,159.0
659,8909520657,3,0.0,0.7142860293388367,7,2,5,2019-06-13,i was really wanting to love this but unfortunately it broke me out. i would suggest the drunk elephant or tatcha c serums.,OK,fair,blue,combination,blonde,P442989,Youth or Dare Multi-Acid & C-Serum,tarte,42.0
46934,23492910358,4,1.0,1.0,2,0,2,2021-10-04,"Love using this product. It makes my skin feel hydrated and refreshed, without any breakout issues. It lasts a long time--great push applicator so I don’t overuse (waste) any product.",Creme de la creme,fair,blue,dry,blonde,P474967,NuFACE Firming and Brightening Silk Crème,NuFACE,69.0
25026,5311309275,4,,,0,0,0,2013-12-03,"I always wanted to try one of these brightening masks so I gave shiseido a try. It was amazing it brightened my face it was so relaxing, the only thing was it was pretty pricy and there is only like 5 in the pack",Love it,,,,,P378219,White Lucent Power Brightening Mask,Shiseido,72.0
9313,12743560936,4,1.0,,0,0,0,2022-08-02,"I love the package on the cleanser. It comes in a tube bottle. I like how on the back of the box, it shows the suggested size amount to use. I love how it left my face feeling clean but not stripped. I first used the makeup melting blam, then the cleanser, Then the moisturizer.",Great cleanser,light,brown,oily,brown,P500113,Detoxifying AHA/BHA Gel Cleanser,Community Sixty-Six,16.0
49727,1981055154,4,1.0,,0,0,0,2021-04-12,"I love it still dont get me wrong! Its moisturizing and has a slight herbal scent that is quite pleasant to sleep to. I lather it on in the winter mostly for that extra moisture, and i wake up to soft dewy skin!",typical overnight mask,light,brown,combination,black,P463109,Overnight Vitalizing Sleeping Mask,Sulwhasoo,54.0
